
Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,GMRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,GMRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,GMRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,GMRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,GMRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,GMRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,GMRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,GMRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GMRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GMRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GMRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
