title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
VHF Call,146520000,146520000,0,0,H,25000,1,0,0,1,0,0,0,0
R/WA6TOW,146325000,146925000,11480,0,H,25000,1,0,0,1,0,0,0,0
ISS,144490000,145800000,0,0,H,25000,1,0,0,1,0,0,0,0
ISS rptr,145990000,437800000,6700,0,H,25000,1,0,0,1,0,0,0,0
R/WR6HMB,147885000,147285000,11480,0,H,25000,1,0,0,1,0,0,0,0
R/K6PVJ,445550000,440550000,11480,0,H,25000,1,0,0,1,0,0,0,0
GMRS-7,462712500,462712500,0,0,H,25000,1,0,0,1,0,0,0,0
GMRS-8,467562500,467562500,0,0,H,25000,1,0,0,1,0,0,0,0
GMRS-19,467650000,462650000,9480,9480,H,25000,0,0,0,1,0,0,0,0
GMRS-22,467725000,462725000,15670,15670,H,25000,0,0,0,1,0,0,0,0
SSTV-1,145600000,145600000,0,0,H,25000,1,0,0,1,0,0,0,0
SSTV-2,145500000,145500000,0,0,H,25000,1,0,0,1,0,0,0,0
,137100000,137100000,0,0,H,25000,1,0,0,1,0,0,0,0
,439075000,439075000,0,0,H,25000,1,0,0,1,0,0,0,0

APRS,144390000,144390000,0,0,H,25000,0,0,0,1,0,1,0,0
















